index,time,type,process,f,value,error,time_seconds,time_diff_seconds
403,4278962345,ok,1.0,read,0,,4.278962345,0.0006087990000001042
404,4280440433,invoke,0.0,read,1,,4.280440433,0.001478087999999822
405,4284661134,fail,5.0,cas,0,,4.284661134,0.004220701000000382
406,4284736991,invoke,1.0,read,1,,4.284736991,7.585699999967943e-05
407,4285317515,fail,7.0,cas,1,,4.285317515,0.0005805240000000822
408,4285361735,ok,2.0,read,1,,4.285361735,4.4220000000372295e-05
409,4285395242,ok,6.0,write,1,,4.285395242,3.3506999999488585e-05
410,4285429888,invoke,2.0,read,1,,4.285429888,3.464600000047113e-05
411,4285901415,invoke,3.0,read,1,,4.285901415,0.0004715269999993055
412,4294542862,ok,2.0,read,1,,4.294542862,0.008641447000000468
413,4294625249,ok,1.0,read,1,,4.294625249,8.238699999996157e-05
414,4294674036,ok,0.0,read,1,,4.294674036,4.878699999988356e-05
415,4294706332,invoke,0.0,read,1,,4.294706332,3.229599999965416e-05
416,4298323764,invoke,5.0,cas,1,,4.298323764,0.00361743200000042
417,4299383491,invoke,6.0,write,1,,4.299383491,0.0010597270000003434
418,4301440552,invoke,4.0,read,1,,4.301440552,0.0020570609999994716
419,4301857587,ok,3.0,read,1,,4.301857587,0.000417034999999899
420,4301907218,invoke,1.0,read,1,,4.301907218,4.963100000043852e-05
421,4302237901,invoke,2.0,read,1,,4.302237901,0.0003306829999996097
422,4312056340,ok,0.0,read,1,,4.31205634,0.009818439000000012
423,4312142282,ok,6.0,write,1,,4.312142282,8.594200000011654e-05
424,4312189440,ok,4.0,read,1,,4.31218944,4.715800000010262e-05
425,4316400248,invoke,6.0,write,1,,4.316400248,0.004210807999999844
426,4320143744,ok,2.0,read,1,,4.320143744,0.003743496000000235
427,4320901718,fail,5.0,cas,1,,4.320901718,0.0007579739999998836
428,4322419563,ok,1.0,read,1,,4.322419563,0.0015178450000004062
429,4322614967,invoke,0.0,read,1,,4.322614967,0.0001954039999993995
430,4324893452,ok,6.0,write,1,,4.324893452,0.0022784850000006074
431,4325174383,invoke,8.0,cas,1,,4.325174383,0.00028093099999981774
432,4327138081,invoke,1.0,read,1,,4.327138081,0.001963697999999958
433,4331514916,invoke,5.0,cas,1,,4.331514916,0.004376834999999524
434,4336192946,fail,8.0,cas,1,,4.336192946,0.00467803
435,4336519304,ok,0.0,read,1,,4.336519304,0.0003263580000005817
436,4336620370,invoke,0.0,read,1,,4.33662037,0.00010106600000003851
437,4338873392,ok,1.0,read,1,,4.338873392,0.0022530219999996604
438,4339176523,invoke,6.0,cas,1,,4.339176523,0.000303130999999901
439,4340023760,invoke,7.0,write,1,,4.34002376,0.0008472370000003338
440,4341669099,invoke,8.0,cas,1,,4.341669099,0.0016453389999995238
441,4344242149,invoke,4.0,read,1,,4.344242149,0.0025730500000005208
442,4347657063,invoke,9.0,cas,1,,4.347657063,0.0034149139999994915
443,4350697592,invoke,1.0,read,1,,4.350697592,0.0030405290000006246
444,4351746974,invoke,2.0,read,1,,4.351746974,0.00104938199999971
445,4352768844,invoke,3.0,read,1,,4.352768844,0.0010218699999997582
446,4358836639,fail,5.0,cas,1,,4.358836639,0.006067794999999876
447,4359144524,fail,6.0,cas,1,,4.359144524,0.00030788500000067387
448,4359245792,ok,4.0,read,1,,4.359245792,0.00010126799999987668
449,4359382722,ok,0.0,read,1,,4.359382722,0.00013693000000003508
450,4359434560,invoke,5.0,write,1,,4.35943456,5.183800000008176e-05
451,4359854163,invoke,0.0,read,1,,4.359854163,0.00041960299999921347
452,4364544915,fail,8.0,cas,1,,4.364544915,0.004690752000000131
453,4364693935,ok,3.0,read,1,,4.364693935,0.00014902000000027726
454,4364795578,ok,7.0,write,1,,4.364795578,0.00010164299999981807
455,4364845294,ok,1.0,read,1,,4.364845294,4.971600000036602e-05
456,4364880278,invoke,1.0,read,1,,4.364880278,3.498400000001567e-05
457,4365687397,fail,9.0,cas,1,,4.365687397,0.0008071190000000783
458,4365753532,invoke,3.0,read,1,,4.365753532,6.613499999996719e-05
459,4368321331,ok,2.0,read,1,,4.368321331,0.002567798999999482
460,4368439878,invoke,6.0,cas,1,,4.368439878,0.00011854700000046847
461,4371781254,ok,0.0,read,1,,4.371781254,0.0033413759999998405
462,4371958687,invoke,4.0,read,1,,4.371958687,0.00017743300000017115
463,4376708697,ok,1.0,read,1,,4.376708697,0.004750009999999527
464,4376739395,ok,3.0,read,1,,4.376739395,3.069800000066181e-05
465,4376769172,invoke,0.0,read,1,,4.376769172,2.977699999995309e-05
466,4377644825,invoke,7.0,write,1,,4.377644825,0.0008756529999995877
467,4378192280,invoke,8.0,cas,1,,4.37819228,0.0005474550000004186
468,4378816876,invoke,1.0,read,1,,4.378816876,0.0006245959999997552
469,4381357860,invoke,9.0,write,1,,4.38135786,0.0025409839999994688
470,4382405897,invoke,2.0,read,1,,4.382405897,0.0010480370000003347
471,4382885904,invoke,3.0,read,1,,4.382885904,0.00048000700000017105
472,4384681152,ok,0.0,read,1,,4.384681152,0.0017952479999996385
473,4385154067,invoke,0.0,read,1,,4.385154067,0.00047291500000046227
474,4389987780,ok,5.0,write,1,,4.38998778,0.004833713000000017
475,4390243143,invoke,5.0,cas,1,,4.390243143,0.00025536299999995293
476,4391908901,fail,8.0,cas,1,,4.391908901,0.001665757999999684
